"","am_sid","sciname"
"1","Fis-10199","Pseudanthias evansi"
"2","Fis-10312","Parupeneus macronemus"
"3","Fis-10405","Jaydia queketti"
"4","Fis-10407","Apogonichthyoides nigripinnis"
"5","Fis-10471","Ellochelon vaigiensis"
"6","Fis-10516","Aspidontus tractus"
"7","Fis-10657","Thalassoma hardwicke"
"8","Fis-10690","Apodichthys fucorum"
"9","Fis-10767","Asterorhombus intermedius"
"10","Fis-10768","Glyptocephalus zachirus"
"11","Fis-10896","Coelorinchus occa"
"12","Fis-10903","Coelorinchus canus"
"13","Fis-10950","Parascorpaena picta"
"14","Fis-10975","Brachirus orientalis"
"15","Fis-10984","Haemulon maculicauda"
"16","Fis-1099","Sarda lineolata"
"17","Fis-10993","Scorpaena mystes"
"18","Fis-11214","Arnoglossus macrolophus"
"19","Fis-112180","Heteroconger klausewitzi"
"20","Fis-112193","Chlorurus troschelii"
"21","Fis-112194","Brotula ordwayi"
"22","Fis-112197","Ogilbia deroyi"
"23","Fis-112241","Bryx analicarens"
"24","Fis-112248","Bryx veleronis"
"25","Fis-112274","Cosmocampus investigatoris"
"26","Fis-112285","Campichthys tricarinatus"
"27","Fis-112286","Choeroichthys suillus"
"28","Fis-112299","Festucalex wassi"
"29","Fis-112301","Filicampus tigris"
"30","Fis-112311","Halicampus spinirostris"
"31","Fis-112315","Heraldia nocturna"
"32","Fis-112318","Histiogamphelus briggsii"
"33","Fis-112321","Histiogamphelus cristatus"
"34","Fis-112355","Hypselognathus horridus"
"35","Fis-112383","Kaupus costatus"
"36","Fis-112385","Kimblaeus bassensis"
"37","Fis-112386","Leptoichthys fistularius"
"38","Fis-112411","Lissocampus filum"
"39","Fis-112415","Lissocampus runa"
"40","Fis-112419","Maroubra perserrata"
"41","Fis-112430","Mitotichthys semistriatus"
"42","Fis-112455","Mitotichthys tuckeri"
"43","Fis-112457","Nannocampus subosseus"
"44","Fis-112460","Notiocampus ruber"
"45","Fis-112462","Penetopteryx taeniocephalus"
"46","Fis-112468","Pugnaso curtirostris"
"47","Fis-112471","Solegnathus robustus"
"48","Fis-112472","Stigmatopora argus"
"49","Fis-112490","Stigmatopora nigra"
"50","Fis-112522","Vanacampus margaritifer"
