"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"94","Fis-23277","Elasmobranchii","Carcharhiniformes","Sphyrnidae",183.282136409061,0.17456328795978,23484.1862845167,22.1445656647399,7.49731157046446,0.220548025539702,120.231107728358,200,"pelagic","subtropical","hunting macrofauna (predator)","elongated","VU","Low",0.5029,85.39,"commercial","low"
"262","Fis-49832","Actinopterygii","Aulopiformes","Paralepididae",23.1034133310212,0.599048219744625,73.2482409198244,4.47381588110847,1.31670002518123,1.00650934912079,13.4405195226304,2000,"pelagic","deep-water",NA,"elongated","LC","Medium",0.5078,44.37,NA,"unknown"
"73","Fis-23106","Actinopterygii","Perciformes","Carangidae",26.9412512183826,0.9636720916153,116.825421743549,3.67127326489145,0.921385287155269,1.83504896283554,14.4669953224765,400,"pelagic","subtropical","hunting macrofauna (predator)","fusiform / normal","LC","High",0.501,19.87,"commercial","medium"
"78","Fis-23149","Elasmobranchii","Hexanchiformes","Hexanchidae",174.196260048366,0.148901682397976,27583.6682767603,19.1792976914817,7.55704065046073,0.23647131411866,104.168875005733,1000,"demersal","deep-water","hunting macrofauna (predator)","elongated","NT","Low",1.0781,73.47,"minor commercial","unknown"
"28","Fis-1646","Actinopterygii","Pleuronectiformes","Soleidae",27.5461004666491,0.361073842350455,200.744522462431,12.4766492008431,2.56172931668937,0.39682208177941,17.357734476087,NA,"demersal","subtropical",NA,"short and / or deep","NE","Medium",0.5312,34.39,NA,"very high"
"105","Fis-23556","Actinopterygii","Myctophiformes","Myctophidae",9.46129188303633,0.657286866836137,8.32696606678787,3.56832679324058,1.11430564955557,1.49470543009407,5.71257704823068,1485,"pelagic","deep-water",NA,"fusiform / normal","LC","High",0.502,28.47,NA,"high"
"195","Fis-30362","Actinopterygii","Notacanthiformes","Notacanthidae",33.7236805015612,0.346738912026165,327.830834887446,7.62293954433204,2.22392125846132,0.616344558386734,18.8154381003653,3285,"pelagic","deep-water","hunting macrofauna (predator)","elongated","LC","Low",0.5161,69.36,"of no interest","unknown"
"158","Fis-28112","Actinopterygii","Osmeriformes","Platytroctidae",24.210694326407,0.51613374220095,96.5741107048084,6.51134135582679,2.13952946201867,0.821725565093636,16.5816380541494,1500,"pelagic","deep-water",NA,"elongated","LC","Medium",0.502,17.19,NA,"unknown"
"84","Fis-23185","Actinopterygii","Stomiiformes","Sternoptychidae",6.64187936896196,0.819730122686087,2.1681741664459,3.213052626858,0.932204336371025,1.3756614949039,4.5032431147142,1524,"pelagic","deep-water","selective plankton feeding","elongated","NE","Medium",0.5,12.96,"minor commercial","unknown"
"264","Fis-50009","Actinopterygii","Myctophiformes","Myctophidae",9.46129188303633,0.657286866836137,8.32696606678787,3.56832679324058,1.11430564955557,1.49470543009407,5.71257704823068,1052,"pelagic","deep-water",NA,"elongated","LC","Medium",0.5,38.92,NA,"high"
"36","Fis-22715","Actinopterygii","Scorpaeniformes","Triglidae",34.4342939744194,0.365713619919612,469.912555421303,12.7305016846586,4.36212009712295,0.49446285627638,22.8230156234011,400,"demersal","temperate","hunting macrofauna (predator)","fusiform / normal","LC","Medium",0.501,46.18,"minor commercial","very high"
"265","Fis-50301","Actinopterygii","Stephanoberyciformes","Melamphaidae",23.6097980485596,0.27660253577041,128.677737944947,8.48925785287612,2.52217289425336,0.536084772760669,13.4224929140105,800,"pelagic","deep-water",NA,"fusiform / normal","LC","High",0.5,29.16,"of no interest","unknown"
"168","Fis-29313","Actinopterygii","Perciformes","Callionymidae",22.2567991496278,0.480664567735967,57.3614180709891,5.57131011448483,1.7204442186215,0.872103514663513,13.8078702866667,430,"demersal","temperate","hunting macrofauna (predator)","elongated","LC","Medium",0.5,28.71,"minor commercial","unknown"
"46","Fis-22751","Actinopterygii","Perciformes","Gobiidae",6.14817296627856,0.935147956638469,1.5205873891305,2.85883294515259,0.598895541824178,1.89589603097572,3.42077466165896,400,"demersal","temperate","selective plankton feeding","elongated","LC","High",1,13.92,"of no interest",NA
"169","Fis-29338","Elasmobranchii","Hexanchiformes","Chlamydoselachidae",159.662080340628,0.138232927753462,21828.2009595143,19.8893932687073,7.88027374429264,0.225791791429198,95.5865153904891,1570,"demersal","deep-water","hunting macrofauna (predator)","elongated","LC","Low",1.0156,81.92,"minor commercial","unknown"
"187","Fis-29879","Actinopterygii","Perciformes","Nomeidae",26.5416538795778,0.612074348516607,194.046470462446,6.05276351238845,1.43397879158971,0.955284873657368,15.4226301032423,400,"pelagic","tropical",NA,"elongated","NE","Medium",0.501,56.13,NA,"unknown"
"47","Fis-22752","Actinopterygii","Perciformes","Labridae",17.553646591537,0.343340207589757,69.6164782711614,8.08429432262948,2.08767084488392,0.63773086719387,10.1109991568291,50,"reef-associated","temperate","hunting macrofauna (predator)","fusiform / normal","LC","Medium",1,32.5,"subsistence fisheries","very high"
"138","Fis-25410","Actinopterygii","Gadiformes","Macrouridae",51.196743225694,0.165442341027011,834.11005525652,20.8423593722242,5.9001434478235,0.268193660607311,31.0145255326577,1000,"demersal","deep-water","hunting macrofauna (predator)","elongated","LC","Low",0.5078,58.28,"minor commercial","medium"
"82","Fis-23171","Actinopterygii","Gobiesociformes","Gobiesocidae",8.74992250438683,0.701983078429382,6.99848499372069,3.77406169511619,1.08301717836557,1.33662110128965,5.44520764716589,NA,"demersal","subtropical",NA,"elongated","LC","Medium",0.625,36.17,NA,"unknown"
"236","Fis-32668","Actinopterygii","Gadiformes","Merlucciidae",70.3585407686566,0.201194446856525,2171.87770682499,14.5586238719509,4.14841881641048,0.339961834635058,39.5305805123749,997,"demersal","deep-water",NA,NA,"NE","Medium",0.75,50.02,"of no interest",NA
"142","Fis-25577","Actinopterygii","Clupeiformes","Clupeidae",51.121257005042,0.326346628909154,1248.69976492583,13.2128237219031,3.08609677142408,0.425035321134254,28.196501409272,400,"pelagic","temperate","hunting macrofauna (predator)","fusiform / normal","LC","Medium",0.5,49.56,"minor commercial","low"
"80","Fis-23167","Actinopterygii","Myctophiformes","Myctophidae",9.46129188303633,0.657286866836137,8.32696606678787,3.56832679324058,1.11430564955557,1.49470543009407,5.71257704823068,850,"pelagic","deep-water",NA,"elongated","LC","High",0.5,20.65,NA,"high"
"133","Fis-24789","Actinopterygii","Tetraodontiformes","Monacanthidae",25.7084639624368,0.414790534273748,252.68721200848,5.87529731464682,1.81185258777485,0.894881551002087,14.277868213069,293,"reef-associated","subtropical","grazing on aquatic plants","short and / or deep","LC","High",0.5312,29.59,"subsistence fisheries","unknown"
"115","Fis-23736","Actinopterygii","Perciformes","Gobiidae",10.1752754443324,0.54947205683839,6.18392374220098,4.03103755303302,0.926056630321584,1.23155493161462,5.40702565813851,12,"demersal","temperate","hunting macrofauna (predator)","fusiform / normal","LC","Medium",0.5001,33.28,"of no interest",NA
"267","Fis-50544","Actinopterygii","Lophiiformes","Oneirodidae",26.1082586790636,0.267136222067637,154.25398939644,8.66540657017202,2.41953321234081,0.451546434464684,14.5004509524943,1000,"pelagic","deep-water",NA,"other","LC","Medium",0.5,36.86,NA,"unknown"
"256","Fis-49096","Actinopterygii","Syngnathiformes","Syngnathidae",17.1113550008808,0.943527515154716,8.76972048109959,4.01103232649234,0.911328003516719,1.00753567791899,10.1885586407303,NA,"demersal","subtropical",NA,"eel-like","DD","High",0.625,23.58,NA,"unknown"
"85","Fis-23192","Actinopterygii","Perciformes","Carangidae",38.7677200671371,2.05143032535963,371.424802499197,2.56103289301548,0.614697832479486,2.87453937660193,22.9818500303529,300,"reef-associated","subtropical",NA,"fusiform / normal","LC","High",1,23.82,"minor commercial","medium"
"136","Fis-25172","Actinopterygii","Perciformes","Sparidae",93.8799080287802,0.143728324196732,12780.8282245641,15.390313051123,3.64592862195516,0.315401416614013,39.2116349217837,220,"pelagic","subtropical","hunting macrofauna (predator)","fusiform / normal","LC","Medium",0.5001,59.52,"commercial","medium"
"83","Fis-23173","Actinopterygii","Perciformes","Trichiuridae",153.402301528415,0.233192075210498,6630.82528914493,11.913145694632,2.89970693004855,0.322197824882143,70.0487176219163,620,"pelagic","deep-water","hunting macrofauna (predator)","eel-like","DD","Medium",0.5156,53.11,"highly commercial","medium"
"202","Fis-30683","Actinopterygii","Aulopiformes","Paralepididae",23.1034133310212,0.599048219744625,73.2482409198244,4.47381588110847,1.31670002518123,1.00650934912079,13.4405195226304,2000,"pelagic","deep-water",NA,"elongated","DD","Low",0.75,57.4,"of no interest","unknown"
"60","Fis-22852","Actinopterygii","Perciformes","Bramidae",61.6320199845615,0.148730761639203,2728.45421887884,18.5221323620743,4.68588014588449,0.268119684706743,32.2595426358988,1000,"pelagic","subtropical","hunting macrofauna (predator)","short and / or deep","LC","Low",0.5039,70.65,"commercial","low"
"25","Fis-15811","Actinopterygii","Myctophiformes","Myctophidae",8.5229199817341,1.05551771191012,5.67663466725735,2.26028602991898,0.70467487480985,2.35143681294189,5.08414249946108,1085,"pelagic","deep-water",NA,"fusiform / normal","LC","High",0.5,30.36,NA,"high"
"193","Fis-30329","Actinopterygii","Myctophiformes","Myctophidae",9.14762338825287,0.368444040025794,7.16565263044347,5.365765761593,1.65402452443245,0.896842537065076,5.28561574907181,1000,"pelagic","deep-water","selective plankton feeding","elongated","LC","Medium",0.5,32.31,NA,"high"
"156","Fis-27328","Actinopterygii","Scorpaeniformes","Triglidae",41.7906586482604,0.318853330093246,751.395339362579,11.6004426095426,3.54480180855088,0.462154476281804,24.1336293467577,170,"demersal","temperate",NA,"elongated","LC","Medium",0.501,51.83,"commercial","very high"
"106","Fis-23580","Actinopterygii","Lampriformes","Lampridae",55.5173206992206,0.247055178215991,1400.71878759725,10.4054259948334,3.06933231926246,0.437254884638322,29.5761081256118,500,"pelagic","deep-water","hunting macrofauna (predator)","short and / or deep","LC","Low",1,60.07,"minor commercial","very high"
"225","Fis-32103","Actinopterygii","Stomiiformes","Gonostomatidae",11.0535332054983,0.686128325286625,9.33597275513956,3.81030384100126,1.12487864454654,1.15817067543176,7.11261835795914,4938,"pelagic","deep-water",NA,"elongated","LC","Medium",0.5001,14.62,"of no interest","unknown"
"45","Fis-22747","Elasmobranchii","Lamniformes","Cetorhinidae",899.551363090839,0.0524986042728482,5159533.53388595,54.5521898196211,21.5704855514692,0.0732036023549294,491.17167895363,2000,"pelagic","temperate","filtering plankton","elongated","EN","Low",1.5,86.06,"commercial","low"
